timestamp,truck_id,reading,temperature,vibration_rms,door_event,anomaly
2026-08-09 19:23:21,truck_001,1,4.19,1.12,CLOSE,combined
2026-08-09 19:23:21,truck_001,2,3.96,1.31,CLOSE,combined
2026-08-09 19:23:21,truck_001,3,3.91,1.38,CLOSE,combined
2026-08-09 19:23:21,truck_001,4,4.15,1.2,CLOSE,combined
2026-08-09 19:23:21,truck_001,5,4.23,1.15,CLOSE,combined
2026-08-09 19:23:21,truck_001,6,4.21,1.17,CLOSE,combined
2026-08-09 19:23:21,truck_001,7,3.97,1.16,CLOSE,combined
2026-08-09 19:23:21,truck_001,8,3.98,1.0,CLOSE,combined
2026-08-09 19:23:21,truck_001,9,4.06,0.84,CLOSE,combined
2026-08-09 19:23:21,truck_001,10,4.27,1.2,CLOSE,combined
2026-08-09 19:23:21,truck_001,11,4.04,1.09,CLOSE,combined
2026-08-09 19:23:21,truck_001,12,4.16,1.34,CLOSE,combined
2026-08-09 19:23:21,truck_001,13,3.96,1.3,OPEN,combined
2026-08-09 19:23:21,truck_001,14,4.06,1.3,OPEN,combined
2026-08-09 19:23:21,truck_001,15,4.17,1.27,CLOSE,combined
2026-08-09 19:23:21,truck_001,16,4.17,1.17,CLOSE,combined
2026-08-09 19:23:21,truck_001,17,4.15,1.0,CLOSE,combined
2026-08-09 19:23:21,truck_001,18,4.06,1.14,CLOSE,combined
2026-08-09 19:23:21,truck_001,19,4.15,1.31,CLOSE,combined
2026-08-09 19:23:21,truck_001,20,4.14,1.12,CLOSE,combined
2026-08-09 19:23:21,truck_001,21,4.21,1.12,CLOSE,combined
2026-08-09 19:23:21,truck_001,22,4.2,1.3,CLOSE,combined
2026-08-09 19:23:21,truck_001,23,4.07,0.88,OPEN,combined
2026-08-09 19:23:21,truck_001,24,4.1,1.16,CLOSE,combined
2026-08-09 19:23:21,truck_001,25,4.05,1.24,CLOSE,combined
2026-08-09 19:23:21,truck_001,26,4.33,1.27,CLOSE,combined
2026-08-09 19:23:21,truck_001,27,4.18,1.34,CLOSE,combined
2026-08-09 19:23:21,truck_001,28,4.27,1.36,CLOSE,combined
2026-08-09 19:23:21,truck_001,29,4.39,1.01,CLOSE,combined
2026-08-09 19:23:21,truck_001,30,4.14,1.31,CLOSE,combined
2026-08-09 19:23:21,truck_001,31,4.09,1.04,CLOSE,combined
2026-08-09 19:23:21,truck_001,32,4.23,1.16,OPEN,combined
2026-08-09 19:23:21,truck_001,33,4.37,1.07,CLOSE,combined
2026-08-09 19:23:21,truck_001,34,4.3,1.15,CLOSE,combined
